OBJECTID,OccurredFrom_Timestamp,OccurredThrough_Timestamp,Reported_Timestamp,Statute_Text,Statute_Description,Weapon_Description,Larceny_Type,Location_Type,x,y
54628,1583939160000,1584198360000,1584212760000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.6228467325321,43.14806609607353
54688,1580923920000,1580924220000,1580963820000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Parking Lot,-77.63853618208246,43.1488641566555
54890,1582034400000,1582106400000,1582143600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Yard,-77.58141798839844,43.177528289249466
54986,1581404400000,1581585240000,1581606300000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Garage/Shed,-77.64890917133543,43.12869289038984
55001,1582269900000,1582269900000,1582287900000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,-77.63293650556508,43.134079169742456
55050,1583947080000,1583947080000,1583961480000,Aggravated Assault,Assault 2nd: With Intent To Cause Serious Physical Injury   ,Blunt Object,* No Larceny Type Specified *,Multiple Dwelling,-77.64434235873225,43.12834956204169
55066,1584833400000,1584837000000,1584908520000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.62359387465838,43.148067700364614
55106,1583350200000,1583394300000,1583421840000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.6230632076406,43.18463688159016
55132,1582491600000,1582522200000,1582577100000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.62299282017514,43.16412499958548
55255,1582530300000,1582567560000,1582585560000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.6367688012614,43.18414936242638
55356,1582815600000,1583323200000,1583344080000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.63281107059912,43.17544808674769
55368,1581971400000,1581971400000,1581989520000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Semiautomatic Handgun,* No Larceny Type Specified *,Other Outside Location,-77.63709497423415,43.17946052978281
55401,1583448840000,1583448840000,1583466840000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Other Outside Location,-77.64600654561873,43.157517844093356
55571,1584521820000,1584521940000,1584537120000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Parking Lot,-77.63792914945067,43.16441277274346
55572,1583163600000,1583163600000,1583181600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Shoplifting,Drug Store,-77.63792914945067,43.16441277274346
55664,1583254260000,1583254260000,1583272260000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.61134951443837,43.17845508042882
55713,1585132860000,1585132860000,1585161600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.5973400277032,43.1762075347638
55738,1584086400000,1584172800000,1584191700000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.62805268643304,43.19012972546601
55832,1584669360000,1584669360000,1584683760000,Robbery,Robbery 2nd: Aided By Another                               ,Physical Force,* No Larceny Type Specified *,Other Outside Location,-77.64779526858281,43.139768459518095
55983,1584823020000,1584823020000,1584837420000,Motor Vehicle Theft,Unauthorized Use of a Vehicle: Without Owner Consent        ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.57870901874693,43.181986016399385
56061,1584967500000,1584970200000,1585504200000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Multiple Dwelling,-77.6072122771138,43.14222009073741
56136,1582059600000,1582097400000,1582117800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.64693724569182,43.149818870459555
56251,1585239600000,1585239600000,1585267980000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.61624060727411,43.17978526674562
56252,1585234800000,1585236120000,1585250520000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.61624060727411,43.17978526674562
56259,1581033960000,1581033960000,1581052260000,Robbery,Robbery 1st: Cause Serious Injury                           ,Firearm,* No Larceny Type Specified *,Single Family Home,-77.6014236636305,43.18481190588003
56319,1583269200000,1583307000000,1583416200000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.64075714573994,43.16148009226615
56320,1583096400000,1583170860000,1583188860000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Garage/Shed,-77.64075714573994,43.16148009226615
56370,1582083840000,1582084800000,1582134900000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.61976743219367,43.18166861512973
56492,1585057500000,1585058400000,1585076400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.62842531647011,43.14646122426916
56512,1584381600000,1584384780000,1584399180000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.62175223197973,43.15087870435129
56543,1584219180000,1584219180000,1584233580000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,-77.59812285358261,43.17653097900743
56544,1584219180000,1584219180000,1584233580000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,-77.59812285358261,43.17653097900743
56626,1582394700000,1582395000000,1582413000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Single Family Home,-77.57649852625026,43.17035521613748
56723,1583586000000,1583613900000,1583632620000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Business Office,-77.63570071229879,43.13830926428287
56905,1585177140000,1585177140000,1585280400000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Semiautomatic Rifle,* No Larceny Type Specified *,Single Family Home,-77.60244971272928,43.18061443697865
56941,1583797500000,1583832000000,1583846580000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.58854509474445,43.14916368887341
57035,1581781800000,1582390440000,1582408440000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Single Family Home,-77.57449230069982,43.17428346344337
57069,1582678800000,1582705200000,1582723500000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Building,-77.60058240624409,43.17554602394919
57101,1583096400000,1583136000000,1583156400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.59102891083293,43.183687540852866
57288,1584306000000,1584349200000,1584385200000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.62038382489415,43.187121158453365
57407,1583173200000,1583173800000,1583191860000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,-77.60573616104064,43.14521109042966
57578,1583458200000,1583458200000,1583503500000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.6175411128769,43.17611869885923
57580,1584754500000,1584754500000,1584770280000,Robbery,Robbery 2nd: Aided By Another                               ,Personal Weapons,* No Larceny Type Specified *,Street,-77.57183415133414,43.167569364763324
57623,1581544800000,1581577200000,1581596040000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.66064157312421,43.14136725333257
57770,1584604800000,1584608400000,1584661680000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Unknown,-77.6431483381289,43.14176669511249
57968,1581199200000,1581226200000,1581244560000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.63748918229966,43.12937139507498
58135,1583101800000,1583137800000,1583156400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.64545749072414,43.12806347277331
58148,1584570600000,1584612000000,1584640800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.60241741894585,43.17653027399459
58861,1582822800000,1582869600000,1582889040000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.63020549584797,43.16071967148749
58893,1585258200000,1585258200000,1585273620000,Robbery,Robbery 2nd: Causes Physical Injury                         ,Other Weapon,* No Larceny Type Specified *,Street,-77.61094191196251,43.18494269936234
58929,1585117380000,1585118040000,1585140900000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Residential,-77.64745955408326,43.166176766056815
58933,1583712600000,1583712780000,1583727180000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.63801729626037,43.1788578454985
59278,1583225520000,1583225520000,1583259840000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Grocery/Supermarket,-77.63856801776399,43.15955563004491
59290,1580937600000,1580940900000,1580959140000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.64389901242416,43.1740503603212
59298,1585252800000,1585342800000,1585373460000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.6377129705138,43.16723837114081
59318,1583580900000,1583581080000,1583598900000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,-77.64373995748062,43.15643691426866
59319,1583580900000,1583581080000,1583598900000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,-77.64373995748062,43.15643691426866
59400,1583832720000,1583832720000,1583847120000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Blunt Object,* No Larceny Type Specified *,Single Family Home,-77.64636178686786,43.13112310118463
59484,1582740000000,1582876800000,1582905600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Yard,-77.6492586527974,43.14245368741221
59627,1583566980000,1583568300000,1583605440000,Larceny,Grand Larceny 4th: Property Taken From Person               ,* No Weapon Specified *,All Other Larcenies,Street,-77.61162303795122,43.178438845223134
59661,1585074600000,1585150800000,1585165200000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.6641700736973,43.158158962269006
59797,1582495200000,1582495500000,1582513680000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Shoplifting,Department/Discount Store,-77.59255016236418,43.14547219522954
59798,1581081900000,1581081900000,1581099900000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Parking Lot,-77.59255016236418,43.14547219522954
60110,1584301080000,1584301080000,1584334080000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Firearm,* No Larceny Type Specified *,Street,-77.63988493338596,43.16527702122379
60173,1582574400000,1582621200000,1582641060000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.5992261627345,43.178177809778795
60207,1584316800000,1584349200000,1584572880000,Motor Vehicle Theft,Unauthorized Use of a Vehicle: Without Owner Consent        ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.64336423436552,43.19733401167106
60246,1583620980000,1583620980000,1583638980000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.63452378171239,43.13809693840806
60255,1580754600000,1580801400000,1580821200000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.58584201219126,43.149556690550305
60366,1582930800000,1582934400000,1582953660000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.58402839995225,43.18704991960926
60384,1585094400000,1585182480000,1585196880000,Robbery,Robbery 1st: Displays What Appears To Be a Firearm          ,Semiautomatic Handgun,* No Larceny Type Specified *,Single Family Home,-77.64047527933168,43.14741936105891
60456,1584403200000,1584435600000,1584455940000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Single Family Home,-77.59948363966552,43.181686486457146
60513,1581169740000,1581169740000,1581192300000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.63223294423298,43.16924674883673
60532,1584960900000,1584960900000,1584975300000,Larceny,Grand Larceny 4th: Property Taken From Person               ,* No Weapon Specified *,All Other Larcenies,Street,-77.59564412315257,43.17963052945035
60545,1583791200000,1583824500000,1583848800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.59848946073537,43.17227513429211
60648,1582545720000,1582545720000,1582563720000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Firearm,* No Larceny Type Specified *,Street,-77.60374359030864,43.18413748254094
60831,1581426000000,1581444000000,1581471000000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.63927800153289,43.18544699809391
60875,1582336560000,1582336560000,1582354560000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Single Family Home,-77.6166961622162,43.18980364968245
61067,1583092800000,1583139600000,1583186400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.64804658030077,43.13080667236511
61094,1582231980000,1582231980000,1582249980000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,-77.60174079240548,43.185264555374225
61183,1584838800000,1584840600000,1584892440000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.60084044776683,43.18313843615819
61269,1585537200000,1585571400000,1585586700000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.63079106929895,43.13806939200719
61324,1582981200000,1583082000000,1583262000000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.66633303455245,43.174297658816734
61397,1582323240000,1582323240000,1582341240000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Firearm,* No Larceny Type Specified *,Street,-77.64203599230876,43.135949114175105
61427,1581786720000,1581786720000,1581804720000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.64935162120429,43.14481562066604
61521,1582840800000,1582882200000,1582901400000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,Theft from Motor Vehicle,Yard,-77.63105276439151,43.16004453717319
61591,1584157500000,1584165600000,1584186180000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Residential,-77.6058525244872,43.148207367571445
61817,1582137240000,1582137240000,1582155360000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Street,-77.62925250882161,43.1388281845112
61938,1583625600000,1583629200000,1583683200000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.63035023418976,43.168679500361385
61987,1580962500000,1580962500000,1580980740000,Larceny,Grand Larceny 3rd: Property Value Exceeds $3000             ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.57361503231786,43.17378307615237
62016,1583507700000,1583507700000,1583525700000,Aggravated Assault,Assault 1st: Intent To Cause Serious Injury With Weapon     ,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,-77.62681509131865,43.1589017371142
62039,1585476960000,1585476960000,1585491360000,Aggravated Assault,Assault 3rd: With Crim Negligence Cause Injury With Weapon/I,Blunt Object,* No Larceny Type Specified *,Multiple Dwelling,-77.6392831097619,43.163586517528145
62040,1585476960000,1585476960000,1585491360000,Aggravated Assault,Assault 3rd: With Crim Negligence Cause Injury With Weapon/I,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,-77.6392831097619,43.163586517528145
62126,1584716940000,1584716940000,1584731340000,Larceny,Grand Larceny 4th: Property Taken From Person               ,* No Weapon Specified *,All Other Larcenies,Street,-77.65800346502384,43.16446216828992
62127,1581616800000,1581616800000,1581725700000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Street,-77.65800346502384,43.16446216828992
62188,1583339220000,1583342400000,1583360580000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.62965173717824,43.173327109172355
62347,1583701200000,1583739000000,1583775900000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Residential Facility,-77.6297648539597,43.1664478841403
62412,1583329020000,1583329020000,1583347020000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Other Weapon,* No Larceny Type Specified *,Single Family Home,-77.65402194219358,43.136926479757115
62469,1583962200000,1583997900000,1584012600000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.62632661722037,43.14531840105695
62622,1581875100000,1581875700000,1581893820000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Retail Store,-77.63917024940207,43.196078473649294
62809,1581288000000,1581289200000,1581307680000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Dry Cleaners/Laundry,-77.55647917910692,43.16013190016521
62901,1583845200000,1583888400000,1583937000000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Parking Lot,-77.59401918387218,43.15634704836326
63139,1584492300000,1584493200000,1584507720000,Robbery,Robbery 1st: Displays What Appears To Be a Firearm          ,Firearm,* No Larceny Type Specified *,Street,-77.60571738070105,43.17394422215567
63344,1583344800000,1583395200000,1583414700000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.58988392112755,43.13816049470128
63407,1583703600000,1583703600000,1583718540000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Multiple Dwelling,-77.60762441289651,43.15959945179759
63570,1582960920000,1582961220000,1582978920000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,-77.57957511179617,43.181983932992836
63596,1582412400000,1582540200000,1582576620000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.62291567650281,43.164059038296756
63639,1582917420000,1582917420000,1582935420000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.58340649148448,43.177590883475126
63733,1582921800000,1582921800000,1582940760000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,All Other Larcenies,Street,-77.62254707451342,43.173708687365405
63748,1582149600000,1582176600000,1582216020000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.6243588403427,43.18266412125259
63816,1585248840000,1585248840000,1585263240000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.57813348036683,43.16715395267233
63916,1582897500000,1582897500000,1584019200000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.63544101499659,43.133065354366884
63923,1584210600000,1584352800000,1584371400000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,All Other Larcenies,Financial Institution,-77.54817716739663,43.159067144918126
64013,1582513200000,1582513200000,1582567200000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Unknown,-77.6365345333001,43.128653702734574
64049,1585346400000,1585383600000,1585398900000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.65054981635956,43.14064092769457
64196,1583107200000,1583109600000,1583133900000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.62899875499961,43.14941766294991
64485,1582830900000,1582831800000,1582896600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.60112219769564,43.157429943527085
64486,1582577100000,1582758000000,1582815600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,School,-77.60112219769564,43.157429943527085
64725,1581490980000,1581491520000,1581513360000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Bar,-77.61055428566624,43.180440268985706
64726,1581318000000,1581318720000,1581375000000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Bar,-77.61055428566624,43.180440268985706
64855,1581407100000,1581407160000,1581429000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Transit Facility,-77.57499582746752,43.16123727568439
65042,1583931600000,1583942400000,1584025200000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.59502748434633,43.177928963801826
65200,1582401600000,1582418700000,1582438080000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.63591788439031,43.1468070688976
65372,1585764000000,1585801500000,1585832100000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.5914962828204,43.1547113457273
65457,1583498640000,1583498700000,1583516640000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Street,-77.65794860579003,43.15547553609848
65496,1582072200000,1582074900000,1582097880000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.56634743685535,43.162784397969524
65553,1581855000000,1581855900000,1581874200000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.6036978713317,43.1929410884794
65743,1585302000000,1585302300000,1585323900000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Public Access Building,-77.60881052409245,43.158019946416275
65744,1584735000000,1584735180000,1584749400000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,-77.60881052409245,43.158019946416275
65745,1584469500000,1584471600000,1584493200000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Transit Facility,-77.60881052409245,43.158019946416275
65746,1584119580000,1584124860000,1584139260000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,All Other Larcenies,Public Transit Vehicle,-77.60881052409245,43.158019946416275
65747,1581259500000,1581260400000,1582898700000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Transit Facility,-77.60881052409245,43.158019946416275
65748,1582713000000,1582713900000,1582737900000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Transit Facility,-77.60881052409245,43.158019946416275
65880,1582106400000,1582108200000,1582143600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Transit Facility,-77.60881052409245,43.158019946416275
65881,1581355500000,1581355500000,1581428400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Transit Facility,-77.60881052409245,43.158019946416275
65967,1581564600000,1581583080000,1581601080000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.57389126182092,43.17755590156665
65982,1583168400000,1583170200000,1583190000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Business Office,-77.62497820566908,43.16582937839462
65983,1582641000000,1582642200000,1582665600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Public Access Building,-77.62497820566908,43.16582937839462
66056,1582016400000,1582016400000,1582034520000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,-77.6559980922367,43.169369507437715
66190,1582977600000,1584569220000,1584577680000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.60183108884472,43.14972834440186
66230,1584211560000,1584211560000,1584225960000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.56544754173824,43.16767097850238
66370,1580829060000,1580829060000,1580847060000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Shoplifting,Department/Discount Store,-77.62180945000986,43.11781392102437
66494,1581632520000,1581632520000,1581652800000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Firearm,* No Larceny Type Specified *,Parking Lot,-77.5996190071012,43.18062787011924
66716,1581112800000,1581153420000,1581172440000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Other Retail Store,-77.57572091718853,43.17558544252474
66798,1583249400000,1583252100000,1583271000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.6183073046009,43.17127484332084
67287,1582902000000,1582909200000,1583262660000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,All Other Larcenies,Street,-77.6338110146915,43.16633153262779
67300,1582812000000,1582813800000,1582840020000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Restaurant,-77.57696925598648,43.147762324820995
67544,1582511100000,1582511100000,1582530240000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Other Retail Store,-77.63921053695424,43.178717918108795
67556,1582481220000,1582481220000,1582499220000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.58223453070136,43.18377332028821
67609,1584121020000,1584121020000,1584135420000,Robbery,Robbery 3rd                                                 ,Personal Weapons,* No Larceny Type Specified *,Street,-77.57432930909464,43.14386082799535
67760,1584329400000,1584385200000,1584840840000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Hospital,-77.58560848305669,43.19154620362446
67762,1583260200000,1583261100000,1583280420000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Street,-77.58560848305669,43.19154620362446
